GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Geometry,com.geometry,Rectangle,45,0,0,0,9,0,6,0,6,0
Geometry,com.geometry,Main,28,0,0,0,7,0,2,0,2,0
